firstname,percentage,rank,gender
James,3.318,1,M
John,3.271,2,M
Robert,3.143,3,M
Michael,2.629,4,M
William,2.451,5,M
David,2.363,6,M
Richard,1.703,7,M
Charles,1.523,8,M
Joseph,1.404,9,M
Thomas,1.38,10,M
Christopher,1.035,11,M
Daniel,0.974,12,M
Paul,0.948,13,M
Mark,0.938,14,M
Donald,0.931,15,M
George,0.927,16,M
Kenneth,0.826,17,M
Steven,0.78,18,M
Edward,0.779,19,M
Brian,0.736,20,M
Ronald,0.725,21,M
Anthony,0.721,22,M
Kevin,0.671,23,M
Jason,0.66,24,M
Matthew,0.657,25,M
Gary,0.65,26,M
Timothy,0.64,27,M
Jose,0.613,28,M
Larry,0.598,29,M
Jeffrey,0.591,30,M
Frank,0.581,31,M
Scott,0.546,32,M
Eric,0.544,33,M
Stephen,0.54,34,M
Andrew,0.537,35,M
Raymond,0.488,36,M
Gregory,0.441,37,M
Joshua,0.435,38,M
Jerry,0.432,39,M
Dennis,0.415,40,M
Walter,0.399,41,M
Patrick,0.389,42,M
Peter,0.381,43,M
Harold,0.371,44,M
Douglas,0.367,45,M
Henry,0.365,46,M
Carl,0.346,47,M
Arthur,0.335,48,M
Ryan,0.328,49,M
Roger,0.322,50,M
Joe,0.321,51,M
Juan,0.316,52,M
Jack,0.315,53,M
Albert,0.314,54,M
Jonathan,0.313,55,M
Justin,0.311,56,M
Terry,0.311,57,M
Gerald,0.309,58,M
Keith,0.308,59,M
Samuel,0.306,60,M
Willie,0.302,61,M
Ralph,0.282,62,M
Lawrence,0.282,63,M
Nicholas,0.275,64,M
Roy,0.273,65,M
Benjamin,0.27,66,M
Bruce,0.263,67,M
Brandon,0.26,68,M
Adam,0.259,69,M
Harry,0.251,70,M
Fred,0.251,71,M
Wayne,0.249,72,M
Billy,0.248,73,M
Steve,0.246,74,M
Louis,0.243,75,M
Jeremy,0.242,76,M
Aaron,0.24,77,M
Randy,0.232,78,M
Howard,0.23,79,M
Eugene,0.23,80,M
Carlos,0.229,81,M
Russell,0.224,82,M
Bobby,0.223,83,M
Victor,0.222,84,M
Martin,0.216,85,M
Ernest,0.215,86,M
Phillip,0.213,87,M
Todd,0.213,88,M
Jesse,0.209,89,M
Craig,0.206,90,M
Alan,0.204,91,M
